City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,yigo village,13.5361,144.8886,27.629999999999995,88,20,2.06,GU,1724769355
432,rio hato,8.3833,-80.1667,27.75,83,40,2.06,PA,1724769356
433,kharp,66.8014,65.8081,15.740000000000009,69,33,1.46,RU,1724769358
434,ke-macina,13.9623,-5.3572,37.620000000000005,34,98,2.36,ML,1724769359
435,kalianget,-7.05,113.9333,26.960000000000036,74,96,3.9,ID,1724769360
436,carutapera,-1.195,-46.02,29.879999999999995,68,94,4.21,BR,1724769361
437,reggane,26.7158,0.1714,45.32000000000005,9,2,2.83,DZ,1724769362
438,matias barbosa,-21.8692,-43.3194,19.99000000000001,64,64,1.85,BR,1724769363
439,fort mcmurray,56.7268,-111.381,16.77000000000004,59,100,8.75,CA,1724769364
440,ishigaki,24.3448,124.1572,27.07000000000005,89,56,2.06,JP,1724769365
441,tossa de mar,41.7325,2.9338,28.900000000000034,40,14,2.82,ES,1724769367
442,sao joao da barra,-21.6403,-41.0511,20.05000000000001,55,100,5.31,BR,1724769368
443,praia da vitoria,38.7333,-27.0667,26.140000000000043,65,20,5.52,PT,1724769369
444,kutiyana,21.6233,69.9817,25.460000000000036,94,100,10.1,IN,1724769370
445,la serena,-29.9078,-71.2542,10.730000000000018,100,100,2.06,CL,1724769219
446,taunggyi,20.7833,97.0333,18.620000000000005,97,100,1.58,MM,1724769372
447,abbeville,50.1,1.8333,27.49000000000001,36,31,3.66,FR,1724769185
448,mantua,45.1667,10.7833,31.340000000000032,58,23,5.6,IT,1724769374
449,anloga,5.7947,0.8973,25.310000000000002,85,73,7.95,GH,1724769375
450,rokiskis,55.9667,25.5833,21.840000000000032,47,35,3.38,LT,1724769376
451,nelson bay,-32.7167,152.15,15.0,86,51,1.79,AU,1724769378
452,novaya igirma,57.1334,103.9112,14.240000000000009,72,100,4.63,RU,1724769379
453,mountain home,43.133,-115.6912,12.710000000000036,58,0,4.63,US,1724769380
454,kasongo-lunda,-6.4667,16.8167,39.06,8,6,1.1,CD,1724769381
455,puerto deseado,-47.7503,-65.8938,6.53000000000003,55,0,1.75,AR,1724769382
456,verkhnevilyuysk,63.4453,120.3167,9.260000000000048,61,100,1.94,RU,1724769383
457,grand falls-windsor,48.9332,-55.6649,24.879999999999995,51,97,2.45,CA,1724769384
458,acheng,45.5454,126.977,16.590000000000032,91,12,1.94,CN,1724769385
459,uzgen,40.7699,73.3007,23.460000000000036,21,11,1.55,KG,1724769386
460,loiza,18.4313,-65.8802,32.700000000000045,71,20,3.6,PR,1724769388
461,gamba,-2.65,10.0,25.720000000000027,71,86,4.69,GA,1724769389
462,yemetsk,63.4721,41.7941,19.890000000000043,47,99,3.48,RU,1724769390
463,bandarbeyla,9.4942,50.8122,25.680000000000007,79,27,12.61,SO,1724769391
464,veinticinco de mayo,-35.4323,-60.1727,16.100000000000023,59,0,1.79,AR,1724769180
465,nizhneangarsk,55.7833,109.55,11.950000000000045,76,51,2.08,RU,1724769393
